City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
CAIRO,"4,400.00","4,400.00","4,400.00"
CALGARY,"72,289.00","40,893.93","123,000.00"
CALIFORNIA,"135,800.00","65,600.00","206,000.00"
CAMARILLO,"82,500.00","82,500.00","82,500.00"
"CAMARILLO, CA","108,000.00","108,000.00","108,000.00"
CAMBRIDGE,"106,120.50","29,700.00","341,000.00"
CAMBRIDGE MA,"74,000.00","74,000.00","74,000.00"
"CAMBRIDGE, MA","122,750.00","113,000.00","132,500.00"
CAMBRIDGESHIRE,"36,000.00","36,000.00","36,000.00"
CAMDEN,"42,000.00","42,000.00","42,000.00"
CANANDAIGUA,"70,750.00","70,750.00","70,750.00"
CANBERRA,"58,789.23","45,000.00","80,100.00"
CANONSBURG,"78,000.00","78,000.00","78,000.00"
CANTERBURY,"50,000.00","50,000.00","50,000.00"
CANTON,"89,333.33","58,000.00","150,000.00"
"CANTON, OH","58,788.00","58,788.00","58,788.00"
CAPE GIRARDEAU,"42,500.00","42,500.00","42,500.00"
CAPE TOWN,"46,186.75","36,680.00","58,656.00"
CAPITAL,"50,000.00","50,000.00","50,000.00"
CARDIFF,"36,500.00","36,500.00","36,500.00"
CARPINTERIA,"75,500.00","75,500.00","75,500.00"
CARSON,"96,000.00","96,000.00","96,000.00"
"CARY, NC","116,250.00","112,500.00","120,000.00"
CASABLANCA,"100,000.00","100,000.00","100,000.00"
CASPER,"49,000.00","49,000.00","49,000.00"
CEDAR FALLS,"57,000.00","57,000.00","57,000.00"
CEDAR RAPIDS,"96,000.00","71,000.00","121,000.00"
CEDAR RAPIDS IOWA,"66,303.84","66,303.84","66,303.84"
CENTRAL COAST,"37,820.00","37,820.00","37,820.00"
CENTRAL NJ,"70,000.00","70,000.00","70,000.00"
CENTRAL NY,"61,200.00","61,200.00","61,200.00"
CENTRAL PA,"48,500.00","48,500.00","48,500.00"
CENTRAL WA,"65,340.00","65,340.00","65,340.00"
CGUCI,"58,500.00","58,500.00","58,500.00"
CH,"54,000.00","54,000.00","54,000.00"
CHAMPAIGN,"43,000.00","40,000.00","46,000.00"
CHAMPAIGN URBANA,"55,500.00","55,500.00","55,500.00"
CHAPEL HILL,"42,500.00","42,500.00","42,500.00"
CHAPEL HILL NC,"110,000.00","110,000.00","110,000.00"
CHARLESTON,"77,016.67","56,000.00","90,050.00"
"CHARLESTON, SC","65,000.00","65,000.00","65,000.00"
CHARLOTTE,"106,394.29","46,000.00","192,500.00"
CHARLOTTE METRO AREA (NC),"98,000.00","98,000.00","98,000.00"
CHARLOTTE NC,"71,500.00","71,500.00","71,500.00"
"CHARLOTTE, NC","106,200.00","73,500.00","191,000.00"
CHARLOTTESVILLE,"84,500.00","62,000.00","107,000.00"
CHATHAM,"81,000.00","81,000.00","81,000.00"
CHATTANOOGA,"57,466.67","36,400.00","73,000.00"
CHELYABINSK,"13,500.00","13,500.00","13,500.00"
"CHEYENNE, WY","85,600.00","85,600.00","85,600.00"
CHICAGO,"112,298.97","11,500.00","789,000.00"
CHICAGO (REMOTE),"93,500.00","93,500.00","93,500.00"
CHICAGO IL,"53,000.00","53,000.00","53,000.00"
"CHICAGO, IL","125,708.70","54,000.00","180,043.52"
CHICAGOLAND,"114,033.33","56,100.00","170,000.00"
CHISINAU,"16,000.00","16,000.00","16,000.00"
CINCINNATI,"103,058.00","47,000.00","244,800.00"
"CINCINNATI, OH","59,850.00","32,200.00","87,500.00"
CITY OF INDUSTRY,"72,000.00","72,000.00","72,000.00"
CLARKSVILLE,"58,000.00","58,000.00","58,000.00"
"CLEARWATER, FLORIDA","45,000.00","45,000.00","45,000.00"
CLEVELAND,"74,493.75","40,000.00","118,400.00"
CLEVELAND TN,"38,300.00","38,300.00","38,300.00"
"CLEVELAND, OHIO","97,500.00","97,500.00","97,500.00"
CO,"329,000.00","329,000.00","329,000.00"
"COEUR D'ALENE, ID","40,000.00","40,000.00","40,000.00"
COEUR D ALENE,"95,000.00","95,000.00","95,000.00"
"COLLEGE PARK, MD","68,000.00","68,000.00","68,000.00"
COLLEGE STATION,"75,000.00","75,000.00","75,000.00"
COLOGNE,"52,031.25","13,000.00","72,000.00"
COLOMBO,"11,900.00","11,900.00","11,900.00"
COLORADO,"80,000.00","80,000.00","80,000.00"
COLORADO SPRINGS,"94,000.00","82,500.00","116,000.00"
COLUMBIA,"87,625.00","48,500.00","140,000.00"
"COLUMBIA, SC","86,000.00","86,000.00","86,000.00"
COLUMBUS,"100,850.00","60,500.00","228,000.00"
COLUMBUS OHIO,"43,680.00","43,680.00","43,680.00"
"COLUMBUS, GA","38,000.00","38,000.00","38,000.00"
"COLUMBUS, OH","73,100.00","65,000.00","90,000.00"
CONCORD,"47,336.50","14,800.00","79,873.00"
CONNECTICUT,"61,750.00","51,500.00","72,000.00"
"CONWAY, AR","44,000.00","44,000.00","44,000.00"
"COOKEVILLE, TN","62,000.00","62,000.00","62,000.00"
COPENHAGEN,"73,640.00","12,000.00","205,000.00"
CORK,"57,630.00","55,000.00","60,260.00"
COUNTRYWIDE,"50,000.00","50,000.00","50,000.00"
CRACOV,"40,000.00","40,000.00","40,000.00"
"CREVE COUER, MISSOURI","60,550.00","60,550.00","60,550.00"
CROYDON,"85,000.00","85,000.00","85,000.00"
CUPERTINO,"330,000.00","330,000.00","330,000.00"
DALLAS,"95,678.17","38,000.00","240,000.00"
DALLAS - FT WORTH,"97,500.00","97,500.00","97,500.00"
DALLAS TX,"105,000.00","105,000.00","105,000.00"
"DALLAS, TEXAS","173,000.00","173,000.00","173,000.00"
"DALLAS, TX","123,425.00","85,000.00","165,000.00"
DARBY,"56,000.00","56,000.00","56,000.00"
DARMSTADT,"39,600.00","39,600.00","39,600.00"
DARTFORD,"34,560.00","34,560.00","34,560.00"
DAVAO,"11,400.00","11,400.00","11,400.00"
DAVENPORT,"64,000.00","64,000.00","64,000.00"
DAVIE,"43,000.00","43,000.00","43,000.00"
DAYTON,"88,750.00","51,000.00","132,000.00"
